step,label,n,r2,adjusted_r2,f,f_p,delta_r2,f_change,f_change_p,df_change
1,Step 1 (Age),117,0.00907882481851685,0.00046211894737357984,1.0536305816032505,0.3068266471281944,,,,
2,Step 2 (+ PSIQ_Total),117,0.10410797538432126,0.08839057144369522,6.623738613424931,0.0018992109926386411,0.09502915056580441,12.092219672509074,0.0007176199899592506,1.0
3,Step 3 (+ PIT & IFES),117,0.48992055703064497,0.46694400554553894,21.322632221298417,6.734973840993449e-15,0.3858125816463237,27.985965162237694,1.490335396114694e-13,3.0
