var,n_non_dep,n_dep,m_non_dep,m_dep,sd_non_dep,sd_dep,t,p,cohens_d,hedges_g,g_ci_low,g_ci_high,p_fdr,sig_fdr,reject_fdr
PIT_Pos_Vivid,40,83,32.4,27.867469879518072,10.139539260255193,6.961165945824105,2.5521368241740157,0.01339556099679719,-0.558015743780162,-0.5545498074833909,-1.0647388946492142,-0.12165201666511123,0.016074673196156627,*,True
PIT_Neg_Vivid,40,81,32.3,35.79012345679013,15.589608636392942,9.60691944561668,-1.2993109918229597,0.19935001924384982,0.2931985985140396,0.2913468178918457,-0.145048707771557,0.807539610932456,0.19935001924384982,,False
PIT_Pos_Likelihood,40,83,33.575,27.602409638554217,8.158329077288641,6.050478229508774,4.116559589499404,0.00011850773678278467,-0.8781169673729072,-0.8726628247184172,-1.320395185374865,-0.48148810306195133,0.00033826209611606534,***,True
PIT_Neg_Likelihood,40,82,29.6,35.08536585365854,7.3268036197274515,6.842498315515465,-3.965932893137894,0.00016913104805803267,0.7832240288134428,0.7783186591131499,0.39511300473463984,1.2319810695995481,0.00033826209611606534,***,True
IFES_Negative,40,83,24.05,40.91566265060241,12.471403186325805,14.984711574067024,-6.568076989861449,3.0784404286170566e-09,1.1857834439189352,1.1784183293604324,0.8143581307995635,1.6054099184694044,1.8470642571702342e-08,***,True
PSIQ_Total,40,83,39.163690476190474,34.06368330464716,6.127156173841982,8.517170109022537,3.788134508185433,0.000255688162603732,-0.6515957145302277,-0.6475485361791082,-0.9823960280577079,-0.3320964034125973,0.000383532243905598,***,True
