variable,vif,breusch_pagan_lm,breusch_pagan_p,breusch_pagan_f,breusch_pagan_f_p
Age,1.094914216808241,7.362163371028396,0.19506869738667446,1.4907264851452002,0.1985532045389774
PSIQ_Total,1.2869577516551616,7.362163371028396,0.19506869738667446,1.4907264851452002,0.1985532045389774
PIT_Pos_Vivid,1.261726220865667,7.362163371028396,0.19506869738667446,1.4907264851452002,0.1985532045389774
PIT_Neg_Vivid,1.1439187145093344,7.362163371028396,0.19506869738667446,1.4907264851452002,0.1985532045389774
IFES_Negative,1.0960844858214844,7.362163371028396,0.19506869738667446,1.4907264851452002,0.1985532045389774
