,studentized_resid,studentized_resid_external,cooks_d,leverage
0,-0.2701690616173955,-0.26903780191999865,0.0024574529656289654,0.16805770869943992
1,2.0394712448590315,2.0694067302402,0.042073956813800134,0.05721899905362543
2,0.6599499319037897,0.6582631511342982,0.0019728860789511426,0.02645971780011863
3,2.401072293214897,2.4548320339168073,0.05340112555603881,0.05265037585630306
4,1.367632505564003,1.373075798690628,0.01224550193208795,0.03779686506088173
5,0.5087906587813725,0.5070852667283556,0.002904452042030889,0.0630729276131719
6,0.9157813020082548,0.9151104200572272,0.003955516931464496,0.027520197375932372
7,0.26374876715488615,0.2626403326242449,0.0005194221768950318,0.0428802340343489
8,-0.361345968594383,-0.35992635707481563,0.002639337965432549,0.10816446363418787
10,-0.8655747894460829,-0.8645897956452222,0.010930169532971127,0.08048718479966448
11,-0.14393958451905575,-0.14330311577000449,0.00018637308069045447,0.051208799321105676
12,1.6087989925436008,1.6205406113676002,0.045457581354004066,0.09533289921904764
13,0.5030649686695752,0.5013656536555674,0.0041267569459764635,0.08911962206929101
14,1.4474057512522385,1.4546640091162415,0.012446118651208713,0.03441862215928698
15,0.30225501734105475,0.30101432770487235,0.0007093720328973639,0.044514585831800735
16,-1.2315934734196188,-1.2344969596092195,0.03179891970694021,0.11173092663508712
17,-0.3335122177492505,-0.3321729845075347,0.0005200487983719081,0.02728704768456843
18,-0.21287918341803005,-0.21196137142238725,0.00014947319138132727,0.019406060065300636
19,0.5778703004525441,0.57612866173881,0.0016872489705520423,0.029423836216859282
20,0.278204526677599,0.27704512333915066,0.0001846143232909657,0.014109670295329507
21,-0.0030818026473549186,-0.003067889377310229,9.443328315239531e-08,0.0562990521158917
22,-1.345016013719088,-1.3499898751839117,0.021801908528455448,0.06743277057170813
23,3.489810051654083,3.6819086856366003,0.09183534319977406,0.043285256179892935
24,0.2710509129255999,0.2699165413882278,0.0006640234678799171,0.05143963789543797
25,1.5731168798958233,1.5837689694598653,0.011394194379505241,0.026883013230914583
26,0.290578935166168,0.2893771431568773,0.00033785014273742545,0.023444661134490764
27,-1.004062840350581,-1.0041000027217515,0.005428094092238451,0.03129454028715262
28,1.795552644184162,1.813984089607512,0.010688206953394197,0.01950320552038008
29,0.5992173718216228,0.5974792297584011,0.0031170772444850986,0.04950833674106905
30,-0.4278652692440346,-0.426285262002061,0.0018095380230761355,0.05598647318339045
31,0.04329748395334453,0.04310237296503226,1.0321451310083468e-05,0.031978044765560217
32,1.0803225117372408,1.0811439857503657,0.018434522451813266,0.08656711294425715
33,1.0456944840217173,1.0461390780146498,0.02536833993624207,0.1221896354444653
