,b,se,t,p,p_hc3,beta,sig,vif
Age,-0.003715210324240246,0.06468057601886248,-0.05743935123825732,0.9542984894943595,0.9536975870707802,-0.004074337438445286,,1.094914216808241
PSIQ_Total,-0.24909200744660553,0.11969647728406263,-2.081030395367965,0.03973161663457254,0.10566051305270578,-0.1600361112165894,*,1.2869577516551616
PIT_Pos_Vivid,-0.2953120743308867,0.11561620523061791,-2.5542446557714995,0.011997267543605914,0.018807467081553675,-0.19449232984654913,*,1.261726220865667
PIT_Neg_Vivid,0.22337579361424165,0.07703436736103904,2.899690115806888,0.004503491876914797,0.01956809044179696,0.2102357613104688,**,1.1439187145093344
IFES_Negative,0.4321886109068975,0.05638342862914733,7.6651708031015025,7.277788464614988e-12,2.59560785719979e-11,0.5440029730775249,***,1.0960844858214844
